TreeID,date,spp,id,brown_perc,diam_mm,temp,water,weight,day,week
PIEN21,2025-08-07T07:00:00Z,PIEN,21,10,5.6,ambient,drought,429.5,17,3
PIEN22,2025-08-07T07:00:00Z,PIEN,22,10,5.9,ambient,drought,354.8,17,3
PIEN23,2025-08-07T07:00:00Z,PIEN,23,10,4.7,ambient,drought,450,17,3
PIEN24,2025-08-07T07:00:00Z,PIEN,24,10,5.7,ambient,water,531.8,17,3
PIEN25,2025-08-07T07:00:00Z,PIEN,25,10,5.3,ambient,drought,391.6,17,3
PIEN26,2025-08-07T07:00:00Z,PIEN,26,10,5.9,ambient,drought,423.2,17,3
PIEN27,2025-08-07T07:00:00Z,PIEN,27,10,6,ambient,water,508.3,17,3
PIEN28,2025-08-07T07:00:00Z,PIEN,28,10,4.4,ambient,drought,328.7,17,3
PIEN29,2025-08-07T07:00:00Z,PIEN,29,10,3.4,ambient,drought,507.5,17,3
PIEN30,2025-08-07T07:00:00Z,PIEN,30,10,5.3,ambient,drought,387.8,17,3
PIEN31,2025-08-07T07:00:00Z,PIEN,31,10,4.7,heatwave,water,536.2,17,3
PIEN32,2025-08-07T07:00:00Z,PIEN,32,10,3,heatwave,drought,474.2,17,3
PIEN33,2025-08-07T07:00:00Z,PIEN,33,10,4.8,heatwave,drought,424.3,17,3
PIEN34,2025-08-07T07:00:00Z,PIEN,34,10,5.3,heatwave,water,503.5,17,3
PIEN35,2025-08-07T07:00:00Z,PIEN,35,10,4.7,heatwave,drought,398.7,17,3
PIEN36,2025-08-07T07:00:00Z,PIEN,36,10,4,heatwave,drought,364.1,17,3
PIEN37,2025-08-07T07:00:00Z,PIEN,37,10,3.8,heatwave,drought,455.7,17,3
PIEN38,2025-08-07T07:00:00Z,PIEN,38,10,4.5,heatwave,water,501.1,17,3
PIEN39,2025-08-07T07:00:00Z,PIEN,39,10,5.2,heatwave,drought,456,17,3
PIEN40,2025-08-07T07:00:00Z,PIEN,40,10,6,heatwave,drought,334.4,17,3
PIEN41,2025-08-07T07:00:00Z,PIEN,41,10,5.5,heatwave,drought,311.2,17,3
PIEN42,2025-08-07T07:00:00Z,PIEN,42,10,5.8,heatwave,water,483.4,17,3
PIEN43,2025-08-07T07:00:00Z,PIEN,43,10,5.1,heatwave,drought,387.1,17,3
PIEN44,2025-08-07T07:00:00Z,PIEN,44,10,4.5,heatwave,drought,284.7,17,3
PIEN45,2025-08-07T07:00:00Z,PIEN,45,10,5.6,heatwave,drought,309.5,17,3
PIEN46,2025-08-07T07:00:00Z,PIEN,46,10,3.2,heatwave,water,492.1,17,3
PIEN47,2025-08-07T07:00:00Z,PIEN,47,10,4.7,heatwave,drought,438.2,17,3
PIEN48,2025-08-07T07:00:00Z,PIEN,48,10,4.4,heatwave,drought,413.1,17,3
PIEN49,2025-08-07T07:00:00Z,PIEN,49,10,5.3,heatwave,drought,351.1,17,3
PIEN50,2025-08-07T07:00:00Z,PIEN,50,10,3.5,heatwave,drought,417.7,17,3
PIEN51,2025-08-07T07:00:00Z,PIEN,51,10,6.4,heatwave,drought,383.3,17,3
PIEN52,2025-08-07T07:00:00Z,PIEN,52,10,5,heatwave,drought,455.2,17,3
PIEN53,2025-08-07T07:00:00Z,PIEN,53,10,6.1,heatwave,drought,282.6,17,3
PIEN54,2025-08-07T07:00:00Z,PIEN,54,10,5.4,heatwave,drought,342.8,17,3
PIEN55,2025-08-07T07:00:00Z,PIEN,55,10,5.3,heatwave,drought,324.2,17,3
PIEN56,2025-08-07T07:00:00Z,PIEN,56,10,3.5,heatwave,drought,417.7,17,3
PIEN57,2025-08-07T07:00:00Z,PIEN,57,10,6.1,heatwave,drought,358.3,17,3
PIEN58,2025-08-07T07:00:00Z,PIEN,58,10,4.1,heatwave,drought,413.5,17,3
PIEN59,2025-08-07T07:00:00Z,PIEN,59,10,5.3,heatwave,drought,387.8,17,3
PIEN60,2025-08-07T07:00:00Z,PIEN,60,10,4,heatwave,drought,398.7,17,3
PIEN1,2025-08-14T07:00:00Z,PIEN,1,10,4.4,ambient,water,545,24,4
PIEN2,2025-08-14T07:00:00Z,PIEN,2,10,4.7,ambient,drought,287,24,4
PIEN3,2025-08-14T07:00:00Z,PIEN,3,10,5.4,ambient,drought,378.7,24,4
PIEN4,2025-08-14T07:00:00Z,PIEN,4,10,4.5,ambient,drought,388.1,24,4
PIEN5,2025-08-14T07:00:00Z,PIEN,5,10,4.7,ambient,drought,322.9,24,4
PIEN6,2025-08-14T07:00:00Z,PIEN,6,10,3.8,ambient,drought,436.2,24,4
PIEN7,2025-08-14T07:00:00Z,PIEN,7,10,5,ambient,drought,353.1,24,4
PIEN8,2025-08-14T07:00:00Z,PIEN,8,10,4.5,ambient,drought,442.6,24,4
PIEN9,2025-08-14T07:00:00Z,PIEN,9,10,3.6,ambient,water,572.7,24,4
PIEN10,2025-08-14T07:00:00Z,PIEN,10,10,5,ambient,drought,312.8,24,4
PIEN11,2025-08-14T07:00:00Z,PIEN,11,10,5.1,ambient,drought,302.5,24,4
PIEN12,2025-08-14T07:00:00Z,PIEN,12,10,4.9,ambient,drought,429.3,24,4
PIEN13,2025-08-14T07:00:00Z,PIEN,13,10,6.6,ambient,drought,322.5,24,4
PIEN14,2025-08-14T07:00:00Z,PIEN,14,10,5.9,ambient,drought,394,24,4
PIEN15,2025-08-14T07:00:00Z,PIEN,15,10,5.8,ambient,drought,399.5,24,4
PIEN16,2025-08-14T07:00:00Z,PIEN,16,10,5.7,ambient,drought,418,24,4
PIEN17,2025-08-14T07:00:00Z,PIEN,17,10,5.8,ambient,drought,419.7,24,4
PIEN18,2025-08-14T07:00:00Z,PIEN,18,10,5.5,ambient,water,561,24,4
PIEN19,2025-08-14T07:00:00Z,PIEN,19,10,4.4,ambient,drought,482.7,24,4
PIEN20,2025-08-14T07:00:00Z,PIEN,20,10,4.6,ambient,drought,355.6,24,4
PIEN21,2025-08-14T07:00:00Z,PIEN,21,10,5.2,ambient,drought,394.3,24,4
PIEN22,2025-08-14T07:00:00Z,PIEN,22,10,5,ambient,drought,311.4,24,4
PIEN23,2025-08-14T07:00:00Z,PIEN,23,10,4.3,ambient,drought,416.2,24,4
PIEN24,2025-08-14T07:00:00Z,PIEN,24,10,4.2,ambient,water,562.2,24,4
PIEN25,2025-08-14T07:00:00Z,PIEN,25,10,5,ambient,drought,345.3,24,4
PIEN26,2025-08-14T07:00:00Z,PIEN,26,10,5.7,ambient,drought,386.7,24,4
PIEN27,2025-08-14T07:00:00Z,PIEN,27,10,5.6,ambient,water,525.1,24,4
PIEN28,2025-08-14T07:00:00Z,PIEN,28,10,4.9,ambient,drought,268,24,4
PIEN29,2025-08-14T07:00:00Z,PIEN,29,10,3,ambient,drought,497.3,24,4
PIEN30,2025-08-14T07:00:00Z,PIEN,30,10,6.2,ambient,drought,335.3,24,4
PIEN31,2025-08-14T07:00:00Z,PIEN,31,10,4.5,heatwave,water,441.5,24,4
PIEN32,2025-08-14T07:00:00Z,PIEN,32,10,3.1,heatwave,drought,385.5,24,4
PIEN33,2025-08-14T07:00:00Z,PIEN,33,10,4.3,heatwave,drought,322.3,24,4
PIEN34,2025-08-14T07:00:00Z,PIEN,34,10,5.5,heatwave,water,391.4,24,4
PIEN35,2025-08-14T07:00:00Z,PIEN,35,10,5.1,heatwave,drought,297.7,24,4
PIEN36,2025-08-14T07:00:00Z,PIEN,36,10,4.7,heatwave,drought,259.9,24,4
PIEN37,2025-08-14T07:00:00Z,PIEN,37,10,3.7,heatwave,drought,355.3,24,4
PIEN38,2025-08-14T07:00:00Z,PIEN,38,10,4.4,heatwave,water,371.3,24,4
PIEN39,2025-08-14T07:00:00Z,PIEN,39,10,4.5,heatwave,drought,365.3,24,4
PIEN40,2025-08-14T07:00:00Z,PIEN,40,10,5.3,heatwave,drought,253.7,24,4
PIEN41,2025-08-14T07:00:00Z,PIEN,41,10,4.9,heatwave,drought,251.6,24,4
PIEN42,2025-08-14T07:00:00Z,PIEN,42,10,4.7,heatwave,water,333.1,24,4
PIEN43,2025-08-14T07:00:00Z,PIEN,43,10,4.8,heatwave,drought,272.4,24,4
PIEN44,2025-08-14T07:00:00Z,PIEN,44,10,4.9,heatwave,drought,231.1,24,4
PIEN45,2025-08-14T07:00:00Z,PIEN,45,10,5.3,heatwave,drought,248,24,4
PIEN46,2025-08-14T07:00:00Z,PIEN,46,10,3,heatwave,water,404,24,4
PIEN47,2025-08-14T07:00:00Z,PIEN,47,10,3.8,heatwave,drought,323.3,24,4
PIEN48,2025-08-14T07:00:00Z,PIEN,48,10,4.9,heatwave,drought,281.8,24,4
PIEN49,2025-08-14T07:00:00Z,PIEN,49,10,4.9,heatwave,drought,261.6,24,4
PIEN50,2025-08-14T07:00:00Z,PIEN,50,10,4.2,heatwave,drought,313.2,24,4
PIEN51,2025-08-14T07:00:00Z,PIEN,51,10,5.2,heatwave,drought,272.8,24,4
PIEN52,2025-08-14T07:00:00Z,PIEN,52,10,5.5,heatwave,drought,355.3,24,4
PIEN53,2025-08-14T07:00:00Z,PIEN,53,10,5.7,heatwave,drought,238.1,24,4
PIEN54,2025-08-14T07:00:00Z,PIEN,54,10,5.6,heatwave,drought,255,24,4
PIEN55,2025-08-14T07:00:00Z,PIEN,55,10,4.9,heatwave,drought,242.1,24,4
PIEN56,2025-08-14T07:00:00Z,PIEN,56,10,3.6,heatwave,drought,311.7,24,4
PIEN57,2025-08-14T07:00:00Z,PIEN,57,10,5.7,heatwave,drought,271.1,24,4
PIEN58,2025-08-14T07:00:00Z,PIEN,58,10,4.1,heatwave,drought,302.8,24,4
PIEN59,2025-08-14T07:00:00Z,PIEN,59,10,5.6,heatwave,drought,277,24,4
