TreeID,VWC_perc,date,spp,id,temp,water,day
PIFL10,1.4,2025-08-19,PIFL,10,ambient,drought,29
PIFL12,12.5,2025-08-19,PIFL,12,ambient,water,29
PIFL17,2,2025-08-19,PIFL,17,ambient,drought,29
PIFL21,13.4,2025-08-19,PIFL,21,ambient,water,29
PIFL27,8.7,2025-08-19,PIFL,27,ambient,drought,29
PIFL28,12.4,2025-08-19,PIFL,28,ambient,water,29
PIFL29,7.2,2025-08-19,PIFL,29,ambient,drought,29
PIFL36,14.1,2025-08-19,PIFL,36,heatwave,water,29
PIFL40,7.4,2025-08-19,PIFL,40,heatwave,drought,29
PIFL41,11.3,2025-08-19,PIFL,41,heatwave,water,29
PIFL43,0.8,2025-08-19,PIFL,43,heatwave,drought,29
PIFL46,11.2,2025-08-19,PIFL,46,heatwave,water,29
PIFL47,4.6,2025-08-19,PIFL,47,heatwave,drought,29
PIFL52,15.8,2025-08-19,PIFL,52,heatwave,water,29
PIFL54,6.6,2025-08-19,PIFL,54,heatwave,drought,29
PIFL55,8.8,2025-08-19,PIFL,55,heatwave,water,29
PIFL57,1.9,2025-08-19,PIFL,57,heatwave,drought,29
PIFL1,13.7,2025-09-05,PIFL,1,ambient,water,46
PIFL3,6.8,2025-09-05,PIFL,3,ambient,drought,46
PIFL9,15.4,2025-09-05,PIFL,9,ambient,water,46
PIFL10,0,2025-09-05,PIFL,10,ambient,drought,46
PIFL12,12.7,2025-09-05,PIFL,12,ambient,water,46
PIFL17,0,2025-09-05,PIFL,17,ambient,drought,46
PIFL21,13.1,2025-09-05,PIFL,21,ambient,water,46
PIFL27,7.7,2025-09-05,PIFL,27,ambient,drought,46
PIFL28,11.1,2025-09-05,PIFL,28,ambient,water,46
PIFL29,7.4,2025-09-05,PIFL,29,ambient,drought,46
PIFL36,16,2025-09-05,PIFL,36,heatwave,water,46
PIFL40,7.4,2025-09-05,PIFL,40,heatwave,drought,46
PIFL41,10.9,2025-09-05,PIFL,41,heatwave,water,46
PIFL43,0,2025-09-05,PIFL,43,heatwave,drought,46
PIFL46,12.4,2025-09-05,PIFL,46,heatwave,water,46
PIFL47,6.9,2025-09-05,PIFL,47,heatwave,drought,46
PIFL52,16.5,2025-09-05,PIFL,52,heatwave,water,46
PIFL54,3.1,2025-09-05,PIFL,54,heatwave,drought,46
PIFL55,9.3,2025-09-05,PIFL,55,heatwave,water,46
PIFL57,1.2,2025-09-05,PIFL,57,heatwave,drought,46
PIFL1,14.6,2025-09-19,PIFL,1,ambient,water,60
PIFL3,3.9,2025-09-19,PIFL,3,ambient,drought,60
PIFL9,16.3,2025-09-19,PIFL,9,ambient,water,60
PIFL10,0,2025-09-19,PIFL,10,ambient,drought,60
PIFL12,14.7,2025-09-19,PIFL,12,ambient,water,60
PIFL17,0,2025-09-19,PIFL,17,ambient,drought,60
PIFL21,15.7,2025-09-19,PIFL,21,ambient,water,60
PIFL27,7.7,2025-09-19,PIFL,27,ambient,drought,60
PIFL28,11.5,2025-09-19,PIFL,28,ambient,water,60
PIFL29,5.5,2025-09-19,PIFL,29,ambient,drought,60
PIFL36,14.4,2025-09-19,PIFL,36,heatwave,water,60
PIFL40,7.5,2025-09-19,PIFL,40,heatwave,drought,60
PIFL41,15.3,2025-09-19,PIFL,41,heatwave,water,60
PIFL43,0,2025-09-19,PIFL,43,heatwave,drought,60
PIFL46,13.4,2025-09-19,PIFL,46,heatwave,water,60
